Date,Product,Qty_Units,Group_Qty_Kg,Avg_Rate,Total_Amount,Category,Year,Month,Month_Name,Quarter,Week,Revenue_per_Kg
2021-04-02,Cheese Spread Plain 200gm,3.0,0.6,74.66,223.97,Cheese,2021,4,Apr,2,13,373.28333333333336
2021-04-02,Cheese Slice 100gm,3.0,0.3,49.44,148.32,Cheese,2021,4,Apr,2,13,494.4
2021-04-03,Cheese Slice 100gm,2.0,0.2,49.0,98.0,Cheese,2021,4,Apr,2,13,490.0
2021-04-04,Cheese Spread Chilly Garlic 200gm,4.0,0.8,74.66,298.65,Cheese,2021,4,Apr,2,13,373.31249999999994
2021-04-05,Cheese Spread Pepper 200gm,2.0,0.4,69.0,137.99,Cheese,2021,4,Apr,2,14,344.975
2021-04-06,Cheese Spread Chilly Garlic 200gm,2.0,0.4,74.66,149.32,Cheese,2021,4,Apr,2,14,373.29999999999995
2021-04-06,Cheese Spread Pepper 200gm,2.0,0.4,74.66,149.32,Cheese,2021,4,Apr,2,14,373.29999999999995
2021-04-07,Cheese Spread Plain 200gm,4.0,0.8,74.66,298.65,Cheese,2021,4,Apr,2,14,373.31249999999994
2021-04-07,Cheese Spread Pepper 200gm,3.0,0.6,74.66,223.97,Cheese,2021,4,Apr,2,14,373.28333333333336
2021-04-08,Cheese Slice 100gm,12.0,1.2,49.0,588.0,Cheese,2021,4,Apr,2,14,490.0
2021-04-09,Cheese Spread Pepper 200gm,4.0,0.8,74.66,298.65,Cheese,2021,4,Apr,2,14,373.31249999999994
2021-04-09,Cheese Slice 100gm,15.0,1.5,50.68,760.13,Cheese,2021,4,Apr,2,14,506.75333333333333
2021-04-10,Cheese Spread Plain 200gm,29.0,5.8,69.11,2004.09,Cheese,2021,4,Apr,2,14,345.53275862068966
2021-04-10,Cheese Slice 100gm,49.0,4.9,50.01,2450.41,Cheese,2021,4,Apr,2,14,500.0836734693877
2021-04-11,Cheese Spread Plain 200gm,12.0,2.4,69.0,828.0,Cheese,2021,4,Apr,2,14,345.0
2021-04-11,Cheese Slice 100gm,6.0,0.6,49.0,294.0,Cheese,2021,4,Apr,2,14,490.0
2021-04-12,Cheese Slice 100gm,8.0,0.8,51.81,414.51,Cheese,2021,4,Apr,2,15,518.1374999999999
2021-04-14,Cheese Spread Plain 200gm,3.0,0.6,74.66,223.97,Cheese,2021,4,Apr,2,15,373.28333333333336
2021-04-14,Cheese Slice 100gm,3.0,0.3,56.5,169.5,Cheese,2021,4,Apr,2,15,565.0
2021-04-15,Cheese Slice 100gm,3.0,0.3,49.0,147.01,Cheese,2021,4,Apr,2,15,490.0333333333333
2021-04-16,Cheese Spread Plain 200gm,2.0,0.4,69.0,138.0,Cheese,2021,4,Apr,2,15,345.0
2021-04-16,Cheese Spread Chilly Garlic 200gm,2.0,0.4,69.0,138.0,Cheese,2021,4,Apr,2,15,345.0
2021-04-16,Cheese Spread Pepper 200gm,2.0,0.4,69.0,138.0,Cheese,2021,4,Apr,2,15,345.0
2021-04-16,Cheese Slice 100gm,19.0,1.9,49.05,931.89,Cheese,2021,4,Apr,2,15,490.4684210526316
2021-04-17,Cheese Spread Plain 200gm,14.0,2.8,74.66,1045.25,Cheese,2021,4,Apr,2,15,373.30357142857144
2021-04-17,Cheese Slice 100gm,26.0,2.6,53.62,1394.0,Cheese,2021,4,Apr,2,15,536.1538461538462
2021-04-18,Cheese Spread Plain 200gm,5.0,1.0,69.0,345.0,Cheese,2021,4,Apr,2,15,345.0
2021-04-19,Cheese Spread Plain 200gm,8.0,1.6,69.0,552.0,Cheese,2021,4,Apr,2,16,345.0
2021-04-19,Cheese Slice 100gm,14.0,1.4,49.0,686.0,Cheese,2021,4,Apr,2,16,490.00000000000006
2021-04-20,Cheese Slice 100gm,29.0,2.9,49.15,1425.39,Cheese,2021,4,Apr,2,16,491.51379310344834
2021-04-21,Cheese Spread Plain 200gm,3.0,0.6,69.62,208.85,Cheese,2021,4,Apr,2,16,348.0833333333333
2021-04-21,Cheese Slice 100gm,77.0,7.7,49.56,3816.21,Cheese,2021,4,Apr,2,16,495.6116883116883
2021-04-22,Cheese Spread Plain 200gm,6.0,1.2,74.66,447.97,Cheese,2021,4,Apr,2,16,373.3083333333334
2021-04-22,Cheese Slice 100gm,21.0,2.1,50.43,1059.01,Cheese,2021,4,Apr,2,16,504.29047619047617
2021-04-23,Cheese Spread Plain 200gm,2.0,0.4,74.66,149.32,Cheese,2021,4,Apr,2,16,373.29999999999995
2021-04-23,Cheese Spread Chilly Garlic 200gm,2.0,0.4,74.66,149.32,Cheese,2021,4,Apr,2,16,373.29999999999995
2021-04-23,Cheese Spread Pepper 200gm,2.0,0.4,74.66,149.32,Cheese,2021,4,Apr,2,16,373.29999999999995
2021-04-23,Cheese Slice 100gm,5.0,0.5,49.44,247.2,Cheese,2021,4,Apr,2,16,494.4
2021-04-24,Cheese Spread Chilly Garlic 200gm,4.0,0.8,69.0,276.01,Cheese,2021,4,Apr,2,16,345.0125
2021-04-25,Cheese Spread Plain 200gm,4.0,0.8,69.62,278.47,Cheese,2021,4,Apr,2,16,348.08750000000003
2021-04-26,Cheese Spread Pepper 200gm,6.0,1.2,69.0,414.0,Cheese,2021,4,Apr,2,17,345.0
2021-04-26,Cheese Slice 100gm,50.0,5.0,49.18,2458.77,Cheese,2021,4,Apr,2,17,491.754
2021-04-27,Cheese Spread Plain 200gm,2.0,0.4,69.0,137.99,Cheese,2021,4,Apr,2,17,344.975
